model,dataset,persona,choice_logprob_accuracy,mean_margin_correct_minus_wrong,mean_logit_margin_correct_minus_wrong,n_questions,train_n,split_mode,split_seed,eval_n,option_token_id_mode,opt1_token_id,opt2_token_id
olmo-7b,TruthfulQA,baseline,0.6421568627450981,0.28061089372518017,1.731605838326847,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,0.6397058823529411,0.28981299238169894,1.8149100144704182,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,0.6470588235294118,0.2968527032610248,1.8076698265823663,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,0.6593137254901961,0.2939445387352915,1.835103766590941,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,0.6813725490196079,0.3572197852327543,2.265778952953862,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,0.6593137254901961,0.305954898251038,1.8844671623379576,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,0.6666666666666666,0.3041400562460516,1.8282263372458665,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,0.6813725490196079,0.3272266719563335,1.9409479066437365,408,409,shuffle,20,408,1/2,16,17
